price,district,age,trade_num,house_num,building_num,service_cost,volume_fraction,office_num,mall_num,restaurant_num,bank_num,market_num,entertainment_num,hospital_num,park_num,bus_num,subway_num
69825,east,14,10,1060,6,3.19,3.86,100,32,2006,170,136,331,17,19,150,9
114628,west,15,13,1508,6,2.8,2.4,50,8,446,90,40,122,5,5,53,7
111563,east,15,39,3041,10,2.96,2.93,38,19,409,78,39,128,4,1,26,2
54105,east,18,22,2569,10,4.3,4.2,242,85,3024,358,134,415,8,7,68,10
99887,east,9,16,2041,5,2.8,4.17,46,6,311,40,45,105,16,5,39,3
80690,east,19,26,3275,29,2.5,2.5,86,19,831,174,65,292,8,20,92,9
101006,east,11,12,1766,9,2.6,2.7,100,32,2006,170,136,331,17,19,150,9
144775,west,13,20,1511,4,3.48,2.1,34,11,455,59,74,88,8,7,26,5
94685,east,13,14,1709,12,4.2,3.6,242,85,3024,358,134,415,8,7,68,10
95965,east,10,9,630,9,5.46,2.5,56,14,639,70,31,92,2,4,33,9
122724,east,13,4,1558,4,18,8,242,85,3024,358,134,415,8,7,68,10
112925,east,14,6,823,5,6,2,242,85,3024,358,134,415,8,7,68,10
62183,east,23,95,7501,77,1.2,1,36,6,664,76,64,168,10,2,59,4
70958,east,5,4,1326,5,5.9,3.5,20,17,981,41,98,169,6,5,53,5
84047,east,11,19,1205,6,4.48,2.28,22,10,459,47,52,125,3,12,67,4
79564,east,8,39,3407,16,2.3,2.46,27,17,807,70,101,196,2,5,42,2
88011,east,8,4,596,3,5.98,3.9,242,85,3024,358,134,415,8,7,68,10
70034,west,4,80,5732,86,1.75,1.25,9,3,309,46,48,110,5,1,52,1
97451,west,13,17,1535,22,2.36,1.8,51,6,477,117,63,169,14,9,72,4
47341,east,15,6,1346,11,4.5,3.5,242,85,3024,358,134,415,8,7,68,10
82697,west,17,6,1352,9,2,6.6,51,6,477,117,63,169,14,9,72,4
97192,west,17,15,1084,6,2.71,3,50,8,446,90,40,122,5,5,53,7
138566,west,9,10,855,7,4.95,2.69,52,8,502,110,82,178,8,8,78,1
58264,east,15,52,3682,85,2.2,1.67,10,7,676,36,162,189,4,7,113,3
115876,west,19,42,2906,18,2.27,8.1,34,11,455,59,74,88,8,7,26,5
120104,east,8,18,1112,6,2.8,2.86,56,14,639,70,31,92,2,4,33,9
127423,west,13,6,553,7,3.5,1.31,58,16,579,137,59,214,3,5,55,5
114649,east,10,23,2779,8,3.2,3.26,7,4,236,34,44,75,3,3,10,3
124654,east,15,14,2618,24,4,2.98,54,11,394,61,22,113,3,1,15,4
65618,east,18,80,5300,19,1.78,3.5,100,32,2006,170,136,331,17,19,150,9
92201,east,13,5,1122,16,2.98,1.64,36,6,664,76,64,168,10,2,59,4
71921,west,14,27,1372,9,1.9,2,13,11,372,50,60,103,5,4,41,1
115646,east,8,10,1198,8,2.8,3.2,56,14,639,70,31,92,2,4,33,9
90969,east,10,4,890,8,3.5,3.39,100,32,2006,170,136,331,17,19,150,9
131271,east,14,4,258,4,2.95,4.3,38,19,409,78,39,128,4,1,26,2
91476,west,9,13,628,8,2.9,2.2,9,3,309,46,48,110,5,1,52,1
74914,east,10,25,1485,3,2.8,4.17,100,32,2006,170,136,331,17,19,150,9
86789,east,13,9,1708,2,1.6,5,56,14,639,70,31,92,2,4,33,9
99979,west,16,12,1360,9,2.52,1.7,58,16,579,137,59,214,3,5,55,5
49598,east,8,55,4219,28,1.8,2.47,10,7,676,36,162,189,4,7,113,3
48332,east,16,38,2388,26,0.52,2.81,20,17,981,41,98,169,6,5,53,5
76248,east,20,28,2592,21,1.4,2.5,100,32,2006,170,136,331,17,19,150,9
68295,east,3,65,4407,103,2.58,1.19,10,7,676,36,162,189,4,7,113,3
121844,west,14,5,704,6,2.52,1.7,58,16,579,137,59,214,3,5,55,5
78404,east,9,26,3535,24,3.9,2.77,27,17,807,70,101,196,2,5,42,2
88237,east,17,5,624,6,3.88,2.5,100,32,2006,170,136,331,17,19,150,9
94863,west,10,21,1924,7,2.3,3.5,31,3,217,37,38,53,3,2,30,4
94200,east,9,6,598,7,2.96,2.89,36,6,664,76,64,168,10,2,59,4
90460,east,11,15,1996,8,2.5,3.5,100,32,2006,170,136,331,17,19,150,9
121508,west,14,6,744,5,2.52,1.7,58,16,579,137,59,214,3,5,55,5
142158,west,9,15,1458,8,2.5,2.75,52,8,502,110,82,178,8,8,78,1
85853,east,7,2,220,2,5.88,6.89,242,85,3024,358,134,415,8,7,68,10
137470,west,5,6,904,23,2.9,1.95,52,8,502,110,82,178,8,8,78,1
78205,east,10,24,1904,10,3,3,52,7,818,65,94,154,4,3,56,5
99605,west,16,5,802,6,2.52,1.5,58,16,579,137,59,214,3,5,55,5
67880,east,17,7,708,3,2.5,3.4,86,19,831,174,65,292,8,20,92,9
72451,east,8,4,272,2,8,3.83,44,8,608,68,30,150,4,11,34,6
82126,east,9,30,1037,6,2.98,2.2,27,17,807,70,101,196,2,5,42,2
96798,east,16,3,957,4,2.86,3,54,11,394,61,22,113,3,1,15,4
82386,east,11,1,1154,15,2.78,1.6,100,32,2006,170,136,331,17,19,150,9
153760,west,7,11,1509,5,3.6,2.66,52,8,502,110,82,178,8,8,78,1
82473,east,6,3,665,83,5.7,0.7,7,6,313,26,84,86,3,4,63,4
136202,west,14,4,480,3,2.65,4.22,58,16,579,137,59,214,3,5,55,5
44963,east,14,65,4377,28,2.28,3.4,20,17,981,41,98,169,6,5,53,5
121981,west,17,10,1424,11,2.2,2.2,58,16,579,137,59,214,3,5,55,5
84313,east,14,7,1296,1,4.8,6,38,19,409,78,39,128,4,1,26,2
64488,west,10,9,1171,7,2,2.99,13,11,372,50,60,103,5,4,41,1
102152,east,14,33,3258,21,0.5,2.7,38,19,409,78,39,128,4,1,26,2
90150,west,26,46,3156,28,3,1.7,146,17,950,220,64,190,6,4,50,6
102532,west,9,11,1257,16,2.58,1.5,51,6,477,117,63,169,14,9,72,4
103300,east,13,6,800,3,4.8,2.98,56,14,639,70,31,92,2,4,33,9
70097,east,14,23,1307,28,2.88,2.93,27,17,807,70,101,196,2,5,42,2
90656,east,7,6,1607,7,4.98,2.7,100,32,2006,170,136,331,17,19,150,9
166930,west,10,3,908,11,5.3,2.68,101,26,760,209,48,107,2,1,65,10
87506,east,13,9,1326,10,2.5,2.33,100,32,2006,170,136,331,17,19,150,9
84606,east,10,1,308,1,16,6,57,13,566,75,39,134,4,7,36,3
101221,west,18,12,1286,12,2.52,1.6,58,16,579,137,59,214,3,5,55,5
87663,west,6,23,2408,53,2.8,1.13,37,7,742,120,270,401,11,18,300,4
53676,east,14,65,3670,18,2.85,3,22,10,459,47,52,125,3,12,67,4
85170,east,13,7,1489,12,2.66,2.8,100,32,2006,170,136,331,17,19,150,9
57333,east,12,50,4717,26,1.2,2.54,52,7,818,65,94,154,4,3,56,5
121590,east,4,1,282,6,6.99,2.5,7,6,313,26,84,86,3,4,63,4
92366,west,22,49,1792,19,1.2,1.5,50,8,446,90,40,122,5,5,53,7
64941,east,14,50,3968,20,2.25,1.9,13,11,846,53,332,247,10,14,76,7
66722,west,21,13,1984,4,1.65,1.8,13,11,372,50,60,103,5,4,41,1
114118,west,18,12,1020,8,2.8,2.89,58,16,579,137,59,214,3,5,55,5
56056,east,14,17,1335,7,1.8,2.4,20,17,981,41,98,169,6,5,53,5
72034,east,19,6,964,3,4.5,4.1,38,19,409,78,39,128,4,1,26,2
59527,east,11,29,3568,14,1.35,3,13,11,846,53,332,247,10,14,76,7
72322,west,24,2,1740,29,0.8,2.24,12,6,468,58,74,109,3,2,41,3
101750,west,13,4,966,7,3.98,4.5,51,6,477,117,63,169,14,9,72,4
70724,west,17,13,826,5,2.3,2.2,9,3,309,46,48,110,5,1,52,1
58840,east,7,73,4234,17,1.35,2.8,27,17,807,70,101,196,2,5,42,2
81952,east,17,24,1838,18,2.53,2.4,86,19,831,174,65,292,8,20,92,9
101807,west,39,43,2112,18,0.5,3,81,14,561,157,70,157,5,6,90,10
75858,east,15,3,522,2,4.4,3,100,32,2006,170,136,331,17,19,150,9
67526,east,14,74,2758,11,2.5,2.99,36,6,664,76,64,168,10,2,59,4
150974,west,7,11,1238,5,2.58,5.1,34,11,455,59,74,88,8,7,26,5
96416,east,16,4,771,4,6.8,4.9,242,85,3024,358,134,415,8,7,68,10
85677,east,10,28,1358,8,2.8,2.68,86,19,831,174,65,292,8,20,92,9
103246,west,10,1,327,3,6.8,2.86,64,27,583,107,51,125,5,2,43,6
90230,east,13,2,848,2,1.8,3.5,56,14,639,70,31,92,2,4,33,9
131563,west,0,2,891,8,4.8,1.58,51,6,477,117,63,169,14,9,72,4
108400,west,14,7,1458,12,2.6,2.2,58,16,579,137,59,214,3,5,55,5
67088,west,16,50,2971,17,1.8,3.9,64,27,583,107,51,125,5,2,43,6
119659,west,14,3,1358,15,2.3,3.61,52,8,502,110,82,178,8,8,78,1
73097,east,20,12,1620,7,2,2,100,32,2006,170,136,331,17,19,150,9
173199,west,15,9,2114,15,3.6,4,101,26,760,209,48,107,2,1,65,10
102549,west,16,12,1930,15,2.52,1.1,58,16,579,137,59,214,3,5,55,5
114562,west,16,9,693,7,2.5,2.5,52,8,502,110,82,178,8,8,78,1
51384,east,16,25,2701,15,1.5,3.4,22,10,459,47,52,125,3,12,67,4
91113,west,36,34,2142,24,0.44,3.3,146,17,950,220,64,190,6,4,50,6
91261,east,14,8,1553,11,2.8,2.69,100,32,2006,170,136,331,17,19,150,9
132026,west,21,10,1611,17,0.84,2,45,1,219,72,30,68,8,4,27,2
99030,east,16,5,664,2,3.05,2.98,56,14,639,70,31,92,2,4,33,9
66393,east,15,20,3592,23,2.05,3.5,100,32,2006,170,136,331,17,19,150,9
50750,west,8,1,415,30,4.75,1.49,37,7,742,120,270,401,11,18,300,4
125313,east,5,8,463,6,3.88,4,56,14,639,70,31,92,2,4,33,9
82373,east,10,18,2537,29,2.36,2.5,7,6,313,26,84,86,3,4,63,4
106385,west,14,1,744,26,2.88,1.13,12,6,468,58,74,109,3,2,41,3
63526,west,10,49,2758,16,2.2,2.25,15,13,419,52,87,128,3,5,67,2
62717,east,20,75,5992,59,2.3,1.7,36,6,664,76,64,168,10,2,59,4
49114,east,11,45,2730,16,2.48,3.8,20,17,981,41,98,169,6,5,53,5
98821,east,13,18,2147,13,2.8,2.81,56,14,639,70,31,92,2,4,33,9
78975,east,30,57,5512,60,0.45,2.3,65,14,778,98,55,151,9,5,62,8
86106,east,23,20,1557,23,1.29,3.5,46,6,311,40,45,105,16,5,39,3
61026,east,16,121,5065,29,1.92,2.8,52,7,818,65,94,154,4,3,56,5
103661,east,30,3,192,2,0.5,2,163,44,2454,231,157,382,31,7,106,24
99131,west,18,3,448,21,3.88,1.14,51,6,477,117,63,169,14,9,72,4
76746,east,7,5,557,4,4.68,3.35,13,11,846,53,332,247,10,14,76,7
114082,west,22,18,3725,34,1.5,3.1,50,8,446,90,40,122,5,5,53,7
152011,west,13,4,548,6,2.6,2.4,58,16,579,137,59,214,3,5,55,5
88910,west,13,12,1406,24,2.3,1.5,37,7,742,120,270,401,11,18,300,4
96451,east,5,1,96,1,5,1.36,36,6,664,76,64,168,10,2,59,4
89345,east,13,7,907,9,4,4.74,242,85,3024,358,134,415,8,7,68,10
49576,east,10,12,3730,19,1.8,2.8,10,7,676,36,162,189,4,7,113,3
78287,east,6,18,3826,17,2.98,2.4,7,6,313,26,84,86,3,4,63,4
98174,east,16,5,1786,24,2.4,1.5,86,19,831,174,65,292,8,20,92,9
82513,west,6,4,674,3,4.1,1.92,37,7,742,120,270,401,11,18,300,4
43184,east,8,24,4179,19,0,2.5,20,17,981,41,98,169,6,5,53,5
67702,east,14,106,3993,12,3,3.9,27,17,807,70,101,196,2,5,42,2
50804,east,19,42,3044,16,1.8,2,22,10,459,47,52,125,3,12,67,4
74654,east,17,12,1210,6,3.9,3.35,242,85,3024,358,134,415,8,7,68,10
73499,east,8,5,727,5,7,2.17,242,85,3024,358,134,415,8,7,68,10
67366,west,20,28,1698,25,0.8,1.7,12,6,468,58,74,109,3,2,41,3
69202,east,18,2,648,3,3.5,3.8,86,19,831,174,65,292,8,20,92,9
82418,east,15,9,571,7,2.5,1.9,86,19,831,174,65,292,8,20,92,9
72431,west,16,1,679,6,2.8,4.2,51,6,477,117,63,169,14,9,72,4
76155,east,26,36,3043,24,0.8,2.23,65,14,778,98,55,151,9,5,62,8
94972,west,38,61,2507,38,0.5,3.85,146,17,950,220,64,190,6,4,50,6
111883,west,21,4,747,9,3.68,2.84,36,10,851,63,66,158,9,10,65,7
115677,east,10,12,775,3,4.8,2.7,56,14,639,70,31,92,2,4,33,9
85868,west,18,9,1408,18,3,3.08,51,6,477,117,63,169,14,9,72,4
138479,west,14,11,1298,4,2.6,2.77,58,16,579,137,59,214,3,5,55,5
82855,east,10,12,744,6,3.28,4.7,100,32,2006,170,136,331,17,19,150,9
77448,west,15,44,2377,6,1,4.6,43,5,457,75,54,135,4,3,35,1
103159,west,18,43,2655,13,2.5,2.5,52,8,502,110,82,178,8,8,78,1
88190,east,12,11,1423,8,2.68,4.1,86,19,831,174,65,292,8,20,92,9
65206,west,17,11,828,6,1.76,2.8,9,3,309,46,48,110,5,1,52,1
85496,east,4,21,2797,13,3.46,2.88,7,6,313,26,84,86,3,4,63,4
76219,east,25,55,4355,53,0.8,1.2,65,14,778,98,55,151,9,5,62,8
94271,west,14,10,693,9,2.9,2.06,51,6,477,117,63,169,14,9,72,4
90251,west,14,17,2504,8,1.7,4.2,43,5,457,75,54,135,4,3,35,1
121007,east,6,6,1307,15,3.4,2.5,100,32,2006,170,136,331,17,19,150,9
67663,east,13,17,2134,5,2.8,3.5,242,85,3024,358,134,415,8,7,68,10
92899,east,18,15,1489,7,0.5,2.1,38,19,409,78,39,128,4,1,26,2
46185,east,13,43,1898,20,1.3,2.37,20,17,981,41,98,169,6,5,53,5
74669,east,10,14,1183,11,2.8,2.2,52,7,818,65,94,154,4,3,56,5
60561,east,10,49,3302,17,2.05,2,22,10,459,47,52,125,3,12,67,4
111944,east,4,2,316,2,17.6,2.85,242,85,3024,358,134,415,8,7,68,10
133208,west,18,34,1540,10,0.5,1.8,45,1,219,72,30,68,8,4,27,2
98171,east,15,12,1282,5,2.56,4.3,46,6,311,40,45,105,16,5,39,3
94258,west,14,11,808,8,2.27,2.4,51,6,477,117,63,169,14,9,72,4
92149,east,16,9,1614,19,2.92,3.5,86,19,831,174,65,292,8,20,92,9
81192,east,17,30,2154,15,3.38,2.6,22,10,459,47,52,125,3,12,67,4
98624,east,13,7,1286,5,1.8,1.6,86,19,831,174,65,292,8,20,92,9
71214,east,12,45,2464,12,3,2.5,27,17,807,70,101,196,2,5,42,2
104870,east,5,3,754,10,2.8,1,86,19,831,174,65,292,8,20,92,9
117052,west,16,2,424,3,3.9,9,50,8,446,90,40,122,5,5,53,7
74975,east,14,6,816,3,2.95,5.87,46,6,311,40,45,105,16,5,39,3
82856,west,19,42,1945,9,2.2,1.91,114,19,1467,191,145,331,14,9,100,2
43358,east,8,23,3148,8,1.58,2.79,10,7,676,36,162,189,4,7,113,3
90240,west,36,54,2626,24,3.6,1.5,146,17,950,220,64,190,6,4,50,6
53547,east,4,5,616,4,2.95,5.07,22,10,459,47,52,125,3,12,67,4
82533,east,15,2,476,1,3.49,2.79,44,8,608,68,30,150,4,11,34,6
92045,west,13,20,1322,8,1.8,2.92,58,16,579,137,59,214,3,5,55,5
120906,west,7,9,1637,10,4.7,3.8,114,19,1467,191,145,331,14,9,100,2
113039,west,13,3,738,28,3.3,1.94,24,3,398,74,72,117,6,11,53,3
88009,east,15,1,472,4,7.98,3,54,11,394,61,22,113,3,1,15,4
84219,east,10,4,364,4,4.98,1.64,36,6,664,76,64,168,10,2,59,4
85299,west,19,11,1188,21,0.8,1.1,12,6,468,58,74,109,3,2,41,3
89045,east,5,1,801,10,4.9,3.97,242,85,3024,358,134,415,8,7,68,10
76459,east,13,7,1026,5,3.8,3.99,56,14,639,70,31,92,2,4,33,9
84676,east,14,27,1370,7,2.66,3.23,36,6,664,76,64,168,10,2,59,4
50016,west,19,2,372,3,5.8,2.3,146,17,950,220,64,190,6,4,50,6
85133,east,11,2,925,4,2.97,3,86,19,831,174,65,292,8,20,92,9
94142,west,16,14,1000,9,2.5,5.7,114,19,1467,191,145,331,14,9,100,2
120357,east,12,6,512,3,2.9,2.9,38,19,409,78,39,128,4,1,26,2
94067,west,28,34,1394,17,0.8,1.3,9,3,309,46,48,110,5,1,52,1
109694,east,11,6,1011,3,2.8,2.8,46,6,311,40,45,105,16,5,39,3
48936,east,20,50,4571,57,0.5,3.2,20,17,981,41,98,169,6,5,53,5
41183,east,12,18,3624,14,1.5,2.8,20,17,981,41,98,169,6,5,53,5
70339,east,16,11,1888,9,1.12,2.5,100,32,2006,170,136,331,17,19,150,9
76906,east,15,4,648,5,3.2,5.68,86,19,831,174,65,292,8,20,92,9
68313,east,5,27,2369,15,0.8,2.58,100,32,2006,170,136,331,17,19,150,9
107541,west,14,35,2603,9,1,1.6,52,8,502,110,82,178,8,8,78,1
85469,west,13,10,1232,20,2.4,1.08,12,6,468,58,74,109,3,2,41,3
53467,east,7,14,1468,9,2.5,1.8,20,17,981,41,98,169,6,5,53,5
102387,west,20,27,1348,10,1.2,2.83,9,3,309,46,48,110,5,1,52,1
107387,west,17,24,1722,11,0.62,1.38,36,10,851,63,66,158,9,10,65,7
80062,east,9,18,1101,7,2.96,2.5,36,6,664,76,64,168,10,2,59,4
79254,east,12,24,1608,4,2.6,2.55,100,32,2006,170,136,331,17,19,150,9
62673,east,21,25,2960,16,1.68,2.8,100,32,2006,170,136,331,17,19,150,9
116032,west,3,7,168,6,6.18,2.6,114,19,1467,191,145,331,14,9,100,2
101526,west,18,9,1396,34,1.54,0.95,51,6,477,117,63,169,14,9,72,4
145665,west,6,11,2207,7,2.55,2.8,45,1,219,72,30,68,8,4,27,2
77381,east,12,4,912,2,2.78,3.98,100,32,2006,170,136,331,17,19,150,9
48728,east,18,48,2730,22,1.3,1.2,20,17,981,41,98,169,6,5,53,5
103588,east,13,4,394,2,4.6,2.7,242,85,3024,358,134,415,8,7,68,10
46793,west,9,57,4218,17,1.8,2.17,20,22,1336,99,271,314,12,9,271,13
85601,east,11,10,1097,7,2.68,2,100,32,2006,170,136,331,17,19,150,9
114065,west,19,29,3429,41,1.8,3.5,81,14,561,157,70,157,5,6,90,10
63078,east,21,32,1270,6,1,1.3,44,8,608,68,30,150,4,11,34,6
106213,west,18,20,2469,23,1.7,3.8,81,14,561,157,70,157,5,6,90,10
55762,east,18,13,1055,7,2.88,5.1,86,19,831,174,65,292,8,20,92,9
68830,east,15,11,1324,10,1.69,3,100,32,2006,170,136,331,17,19,150,9
74488,east,20,10,1652,12,1.05,2.9,100,32,2006,170,136,331,17,19,150,9
128052,west,16,2,684,5,2.8,3.6,58,16,579,137,59,214,3,5,55,5
84116,west,15,28,994,12,1.98,3,43,5,457,75,54,135,4,3,35,1
86787,east,8,29,2128,29,2.5,1.6,7,6,313,26,84,86,3,4,63,4
62889,west,19,14,2348,8,2.1,3,13,11,372,50,60,103,5,4,41,1
69377,west,17,27,1321,19,2,1.6,15,13,419,52,87,128,3,5,67,2
70129,west,15,25,1604,54,2.1,1,15,13,419,52,87,128,3,5,67,2
79111,east,10,42,2636,18,3.2,2.8,52,7,818,65,94,154,4,3,56,5
83409,west,19,30,2912,14,0.98,0.8,52,8,502,110,82,178,8,8,78,1
120278,east,6,3,368,5,4.6,2.54,86,19,831,174,65,292,8,20,92,9
59604,east,19,61,6218,37,1.2,2.2,86,19,831,174,65,292,8,20,92,9
80854,east,11,23,2470,8,2.65,2.75,36,6,664,76,64,168,10,2,59,4
62286,east,28,68,2941,29,0.5,2,27,17,807,70,101,196,2,5,42,2
61078,east,24,95,5435,44,0.5,2.3,27,17,807,70,101,196,2,5,42,2
139648,west,37,28,802,13,0.54,2.3,45,1,219,72,30,68,8,4,27,2
75169,east,12,7,1312,6,2.8,2.66,100,32,2006,170,136,331,17,19,150,9
86981,west,15,33,1390,4,2.12,4.3,43,5,457,75,54,135,4,3,35,1
73363,east,16,15,1700,16,2.3,3.2,52,7,818,65,94,154,4,3,56,5
101051,east,9,1,740,5,4.98,2.63,36,6,664,76,64,168,10,2,59,4
95903,west,20,38,3084,17,0.55,2.9,52,8,502,110,82,178,8,8,78,1
135952,west,18,20,764,8,1.6,3.1,45,1,219,72,30,68,8,4,27,2
141591,west,16,5,720,6,2.8,3,58,16,579,137,59,214,3,5,55,5
95489,west,16,7,667,5,3,1.7,58,16,579,137,59,214,3,5,55,5
58332,east,17,7,880,4,2.3,7,100,32,2006,170,136,331,17,19,150,9
85219,west,24,22,2721,24,0.8,3,43,5,457,75,54,135,4,3,35,1
63650,west,20,49,2124,14,1.8,1.33,15,13,419,52,87,128,3,5,67,2
174097,west,13,8,946,1,3.86,7.3,101,26,760,209,48,107,2,1,65,10
51404,west,14,29,2430,11,1.2,2.7,15,13,419,52,87,128,3,5,67,2
70659,west,9,2,1,1,4.6,1.59,15,13,419,52,87,128,3,5,67,2
117259,east,5,1,504,6,6.9,2.8,27,17,807,70,101,196,2,5,42,2
82677,east,32,33,2405,33,0.5,6,242,85,3024,358,134,415,8,7,68,10
104168,west,16,42,3239,15,1.78,3.2,114,19,1467,191,145,331,14,9,100,2
80735,west,20,33,2696,31,1.7,2,114,19,1467,191,145,331,14,9,100,2
89120,east,16,40,3068,47,1.39,1.6,46,6,311,40,45,105,16,5,39,3
69180,west,22,13,1374,21,0.8,1.8,12,6,468,58,74,109,3,2,41,3
95971,west,18,22,906,10,1.2,1.85,114,19,1467,191,145,331,14,9,100,2
83453,west,15,17,1315,42,1.18,1.08,12,6,468,58,74,109,3,2,41,3
89977,east,15,3,443,5,2.98,1.64,36,6,664,76,64,168,10,2,59,4
68410,east,12,5,1138,9,3.45,3,100,32,2006,170,136,331,17,19,150,9
109864,east,9,3,495,2,9,3.37,57,13,566,75,39,134,4,7,36,3
88405,west,23,15,1167,15,2,2,52,8,502,110,82,178,8,8,78,1
81506,east,15,18,702,4,8,5,54,11,394,61,22,113,3,1,15,4
49070,east,13,19,1356,14,2.88,2.09,20,17,981,41,98,169,6,5,53,5
74618,east,10,24,1817,6,2.65,2.56,22,10,459,47,52,125,3,12,67,4
65689,east,11,55,2191,14,2.79,1.46,52,7,818,65,94,154,4,3,56,5
55274,east,23,8,2517,18,0.55,3.6,52,7,818,65,94,154,4,3,56,5
